,PRECTOT,QV2M,PS,TS,KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN
0,0.0,0.003886,99.11,11.85,0.68,3.97,6.5
1,0.0,0.003804,99.05,11.48,0.68,3.97,6.5
2,0.0,0.003462,99.13,11.86,0.76,4.42,6.36
3,0.0,0.003457,99.06,12.04,0.76,4.42,6.36
4,0.0,0.002913,99.31,10.09,0.73,4.29,6.5
5,0.0,0.002902,99.23,9.92,0.73,4.29,6.5
6,0.0,0.002383,99.24,9.66,0.72,4.19,6.18
7,0.0,0.002433,99.17,9.33,0.72,4.19,6.18
8,0.0,0.002493,99.07,9.6,0.75,4.39,6.57
9,0.0,0.0026,99.0,9.36,0.75,4.39,6.57
10,0.0,0.00269,99.1,10.73,0.67,3.92,6.31
11,0.0,0.002723,99.05,10.3,0.67,3.92,6.31
12,0.0,0.002805,99.24,10.81,0.73,4.32,6.55
13,0.0,0.0028190000000000003,99.2,10.75,0.73,4.32,6.55
14,0.0,0.003124,99.17,10.97,0.68,4.03,6.59
15,0.0,0.003118,99.12,10.92,0.68,4.03,6.59
16,0.0,0.004148,99.24,11.76,0.68,4.08,6.66
17,0.0,0.00399,99.2,11.65,0.68,4.08,6.66
18,0.0,0.004490999999999999,99.26,12.45,0.68,4.06,6.6
19,0.0,0.004452,99.21,12.43,0.68,4.06,6.6
20,0.0,0.004462,99.05,13.14,0.66,3.97,7.07
21,0.0,0.0044,99.01,12.96,0.66,3.97,7.07
22,0.14,0.005254,99.19,13.25,0.67,4.02,6.86
23,0.34,0.005179,99.16,13.3,0.67,4.02,6.86
24,0.07,0.004514,99.41,13.5,0.75,4.53,6.66
25,0.05,0.004482,99.35,13.69,0.75,4.53,6.66
26,0.25,0.003921,99.31,12.19,0.74,4.51,6.6
27,0.58,0.003899,99.26,11.97,0.74,4.51,6.6
28,0.0,0.003296,99.19,12.13,0.72,4.41,6.69
29,0.0,0.003294,99.14,11.69,0.72,4.41,6.69
30,0.0,0.003111,99.11,11.41,0.75,4.65,6.38
31,0.0,0.003146,99.06,11.08,0.75,4.65,6.38
32,0.0,0.003236,99.01,11.74,0.74,4.61,6.5
33,0.0,0.003311,98.96,11.34,0.74,4.61,6.5
34,0.0,0.003408,99.17,12.35,0.76,4.74,6.38
35,0.0,0.00339,99.11,11.97,0.76,4.74,6.38
36,0.0,0.003523,99.17,12.56,0.58,3.65,7.71
37,0.0,0.003546,99.12,12.21,0.58,3.65,7.71
38,0.1,0.0045,99.26,13.44,0.53,3.31,8.12
39,0.03,0.003982,99.22,13.15,0.53,3.31,8.12
40,0.06,0.005882,99.32,14.56,0.68,4.31,7.17
41,0.05,0.0049380000000000005,99.28,14.03,0.68,4.31,7.17
42,0.15,0.005027,99.22,15.7,0.67,4.25,7.25
43,0.1,0.004765,99.18,15.11,0.67,4.25,7.25
44,0.0,0.004845,99.17,15.75,0.74,4.72,7.03
45,0.0,0.004765999999999999,99.12,15.48,0.74,4.72,7.03
46,0.0,0.003256,99.14,13.05,0.73,4.7,6.62
47,0.0,0.0033130000000000004,99.07,12.67,0.73,4.7,6.62
48,0.0,0.003404,99.11,13.21,0.65,4.24,7.14
49,0.0,0.003404,99.06,12.93,0.65,4.24,7.14
50,0.0,0.004083,99.16,14.24,0.68,4.44,6.84
51,0.0,0.003957,99.11,14.06,0.68,4.44,6.84
52,0.01,0.004038,99.26,14.54,0.63,4.17,7.42
53,0.0,0.003844,99.23,13.85,0.63,4.17,7.42
54,0.02,0.004952000000000001,99.17,14.54,0.46,3.06,8.73
55,0.02,0.004763,99.14,14.2,0.46,3.06,8.73
56,25.06,0.007748,99.1,14.52,0.61,4.06,7.85
57,25.54,0.007156999999999998,99.09,13.3,0.61,4.06,7.85
58,1.27,0.007175,98.97,15.41,0.61,4.12,7.73
