,YEAR,MO,DY,PRECTOT,QV2M,PS,TS,KT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,Date
0,1986,1,1,0.0,0.003886,99.11,11.85,0.68,3.97,6.5,1-1-1986
1,1986,1,1,0.0,0.003804,99.05,11.48,0.68,3.97,6.5,1-1-1986
2,1986,1,2,0.0,0.003462,99.13,11.86,0.76,4.42,6.36,2-1-1986
3,1986,1,2,0.0,0.003457,99.06,12.04,0.76,4.42,6.36,2-1-1986
4,1986,1,3,0.0,0.002913,99.31,10.09,0.73,4.29,6.5,3-1-1986
5,1986,1,3,0.0,0.002902,99.23,9.92,0.73,4.29,6.5,3-1-1986
6,1986,1,4,0.0,0.0023829999999999997,99.24,9.66,0.72,4.19,6.18,4-1-1986
7,1986,1,4,0.0,0.002433,99.17,9.33,0.72,4.19,6.18,4-1-1986
8,1986,1,5,0.0,0.002493,99.07,9.6,0.75,4.39,6.57,5-1-1986
9,1986,1,5,0.0,0.0026,99.0,9.36,0.75,4.39,6.57,5-1-1986
10,1986,1,6,0.0,0.0026899999999999997,99.1,10.73,0.67,3.92,6.31,6-1-1986
11,1986,1,6,0.0,0.002723,99.05,10.3,0.67,3.92,6.31,6-1-1986
12,1986,1,7,0.0,0.002805,99.24,10.81,0.73,4.32,6.55,7-1-1986
13,1986,1,7,0.0,0.0028190000000000003,99.2,10.75,0.73,4.32,6.55,7-1-1986
14,1986,1,8,0.0,0.003124,99.17,10.97,0.68,4.03,6.59,8-1-1986
15,1986,1,8,0.0,0.003118,99.12,10.92,0.68,4.03,6.59,8-1-1986
16,1986,1,9,0.0,0.004148,99.24,11.76,0.68,4.08,6.66,9-1-1986
17,1986,1,9,0.0,0.00399,99.2,11.65,0.68,4.08,6.66,9-1-1986
18,1986,1,10,0.0,0.004490999999999999,99.26,12.45,0.68,4.06,6.6,10-1-1986
19,1986,1,10,0.0,0.004452,99.21,12.43,0.68,4.06,6.6,10-1-1986
20,1986,1,11,0.0,0.004462,99.05,13.14,0.66,3.97,7.07,11-1-1986
21,1986,1,11,0.0,0.0044,99.01,12.96,0.66,3.97,7.07,11-1-1986
22,1986,1,12,0.14,0.005254,99.19,13.25,0.67,4.02,6.86,12-1-1986
23,1986,1,12,0.34,0.005179,99.16,13.3,0.67,4.02,6.86,12-1-1986
24,1986,1,13,0.07,0.004514,99.41,13.5,0.75,4.53,6.66,13-1-1986
25,1986,1,13,0.05,0.004482,99.35,13.69,0.75,4.53,6.66,13-1-1986
26,1986,1,14,0.25,0.003921,99.31,12.19,0.74,4.51,6.6,14-1-1986
27,1986,1,14,0.58,0.003899,99.26,11.97,0.74,4.51,6.6,14-1-1986
28,1986,1,15,0.0,0.003296,99.19,12.13,0.72,4.41,6.69,15-1-1986
29,1986,1,15,0.0,0.0032939999999999996,99.14,11.69,0.72,4.41,6.69,15-1-1986
30,1986,1,16,0.0,0.003111,99.11,11.41,0.75,4.65,6.38,16-1-1986
31,1986,1,16,0.0,0.003146,99.06,11.08,0.75,4.65,6.38,16-1-1986
32,1986,1,17,0.0,0.0032359999999999997,99.01,11.74,0.74,4.61,6.5,17-1-1986
33,1986,1,17,0.0,0.003311,98.96,11.34,0.74,4.61,6.5,17-1-1986
34,1986,1,18,0.0,0.003408,99.17,12.35,0.76,4.74,6.38,18-1-1986
35,1986,1,18,0.0,0.00339,99.11,11.97,0.76,4.74,6.38,18-1-1986
36,1986,1,19,0.0,0.0035229999999999997,99.17,12.56,0.58,3.65,7.71,19-1-1986
37,1986,1,19,0.0,0.003546,99.12,12.21,0.58,3.65,7.71,19-1-1986
38,1986,1,20,0.1,0.0045,99.26,13.44,0.53,3.31,8.12,20-1-1986
39,1986,1,20,0.03,0.003982,99.22,13.15,0.53,3.31,8.12,20-1-1986
40,1986,1,21,0.06,0.005882,99.32,14.56,0.68,4.31,7.17,21-1-1986
41,1986,1,21,0.05,0.0049380000000000005,99.28,14.03,0.68,4.31,7.17,21-1-1986
42,1986,1,22,0.15,0.005027,99.22,15.7,0.67,4.25,7.25,22-1-1986
43,1986,1,22,0.1,0.004765,99.18,15.11,0.67,4.25,7.25,22-1-1986
44,1986,1,23,0.0,0.004845,99.17,15.75,0.74,4.72,7.03,23-1-1986
